Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2018-07-26,,103.24,101.66,103.24,,2587040.0,265587657.0,,,
2018-07-27,,104.06,102.94,103.14,,1794644.0,185484324.0,,,
2018-07-30,,102.86,100.2,100.2,,1620245.0,163621357.0,,,
2018-07-31,,100.34,99.16,99.85,,2727085.0,272041284.0,,,
2018-08-01,,100.04,99.02,99.54,,1898971.0,189050671.0,,,
2018-08-02,,99.58,98.54,99.09,,2235056.0,221448758.0,,,
2018-08-03,,99.88,99.03,99.77,,1630363.0,162369343.0,,,
2018-08-06,,100.96,99.27,99.86,,1550121.0,154946501.0,,,
2018-08-07,,101.06,99.38,99.39,,1826797.0,182486987.0,,,
2018-08-08,,100.74,99.21,100.38,,1812842.0,181631501.0,,,
2018-08-09,,100.64,99.3,100.3,,1372980.0,137505102.0,,,
2018-08-10,,99.76,98.04,98.65,,2870713.0,283234164.0,,,
2018-08-13,,100.82,98.99,100.1,,1904698.0,190604087.0,,,
2018-08-14,,101.0,99.65,100.36,,1429034.0,143427006.0,,,
2018-08-15,,101.16,99.06,99.3,,2300498.0,229370344.0,,,
2018-08-16,,102.42,100.04,102.06,,2664013.0,270828394.0,,,
2018-08-17,,102.08,100.94,101.98,,1753722.0,178362886.0,,,
2018-08-20,,103.12,101.76,102.6,,1315440.0,134955408.0,,,
2018-08-21,,102.9,102.08,102.32,,1413522.0,144819031.0,,,
2018-08-22,,102.86,101.92,102.54,,1313977.0,134598491.0,,,
2018-08-23,,103.94,102.7,103.54,,1452137.0,150398390.0,,,
2018-08-24,,103.98,103.1,103.98,,1244897.0,129123762.0,,,
2018-08-27,,104.9,104.14,104.7,,1166752.0,122000594.0,,,
2018-08-28,,104.96,104.3,104.44,,1526664.0,159582008.0,,,
2018-08-29,,104.88,104.24,104.54,,1319862.0,137988821.0,,,
2018-08-30,,104.5,103.22,104.28,,1784078.0,185565316.0,,,
2018-08-31,,103.94,102.74,103.62,,2190787.0,226775491.0,,,
2018-09-03,,103.76,102.94,103.64,,915510.0,94769875.0,,,
2018-09-04,,103.98,101.76,102.4,,1807374.0,185297454.0,,,
2018-09-05,,102.36,99.22,99.22,,2784927.0,278728072.0,,,
2018-09-06,,100.12,98.57,98.76,,2436139.0,241676903.0,,,
2018-09-07,,100.56,99.31,100.56,,2801851.0,280429769.0,,,
2018-09-10,,102.02,100.42,101.98,,2272017.0,230806518.0,,,
2018-09-11,,103.0,101.62,102.84,,1944390.0,199332237.0,,,
2018-09-12,,104.2,102.92,104.2,,1737934.0,180364499.0,,,
2018-09-13,,104.62,103.54,103.7,,1947300.0,202374906.0,,,
2018-09-14,,104.28,103.42,104.2,,1507865.0,156828978.0,,,
2018-09-17,,104.2,102.4,102.9,,2062722.0,212410532.0,,,
2018-09-18,,103.2,101.58,103.2,,2157780.0,221435312.0,,,
2018-09-19,,103.0,101.94,102.14,,1676623.0,171410937.0,,,
2018-09-20,,102.08,100.88,101.64,,2872169.0,291643289.0,,,
2018-09-21,,104.1,101.72,104.1,,7407942.0,767207918.0,,,
2018-09-24,,104.1,102.9,103.46,,2071834.0,214484597.0,,,
2018-09-25,,107.14,103.38,107.0,,2469719.0,261701389.0,,,
2018-09-26,,108.52,107.02,107.8,,2430653.0,261986882.0,,,
2018-09-27,,108.16,106.92,107.8,,1913077.0,206174273.0,,,
2018-09-28,,108.34,105.64,106.0,,3050317.0,324860229.0,,,
2018-10-01,,106.8,105.68,106.68,,1526744.0,162450487.0,,,
2018-10-02,,107.02,105.22,106.06,,2078430.0,220098268.0,,,
2018-10-04,,106.9,105.06,106.08,,2271727.0,240646690.0,,,
2018-10-05,,106.12,104.22,104.22,,2027373.0,212158325.0,,,
2018-10-08,,104.24,101.72,102.04,,2221057.0,227645409.0,,,
2018-10-09,,104.3,101.98,103.8,,2391236.0,246665815.0,,,
2018-10-10,,103.96,98.71,98.71,,3586189.0,359058674.0,,,
2018-10-11,,98.78,94.14,97.08,,5210537.0,504713553.0,,,
2018-10-12,,99.89,97.43,98.07,,4027769.0,396713497.0,,,
