,Полное имя пользователя,Просмотры,Активные действия,views_bin,active_bin,views_sq,views_log
282,741f82c54713f7436dfdf5903ba6d710,28,1,"(0.0, 100.0]",,784,3.367295829986474
283,74ef800dd6f1159d5ede63a9f0f0d250,1,0,"(0.0, 100.0]",,1,0.6931471805599453
284,74f269884e1b8da758ef8c42bd24d878,19,1,"(0.0, 100.0]",,361,2.995732273553991
285,762530da94d134c20d8eda923e293e79,16,2,"(0.0, 100.0]",,256,2.833213344056216
286,76530fc3923e0f4ffc8260ae0ca495e3,8,0,"(0.0, 100.0]",,64,2.1972245773362196
288,7778c3fce7d049998341fb7232db75b1,48,1,"(0.0, 100.0]",,2304,3.8918202981106265
289,77a054c6c0940f7bfc7fe3ab47fb15c7,3,0,"(0.0, 100.0]",,9,1.3862943611198906
290,77f251caa9aa147ca0955a00d26a6788,27,1,"(0.0, 100.0]",,729,3.332204510175204
291,78497d9dda1685f1a7335fc3e688e95a,36,1,"(0.0, 100.0]",,1296,3.6109179126442243
292,78a0432b37c93cf339aa60f5133b8bb6,24,1,"(0.0, 100.0]",,576,3.2188758248682006
293,78dbf7f6fa11f1606d3db0225753693f,53,1,"(0.0, 100.0]",,2809,3.9889840465642745
294,7938232960ce72287a9b08e8689777bb,16,1,"(0.0, 100.0]",,256,2.833213344056216
295,79bb95e2c72e2ada90e06fbec7d7de1e,35,5,"(0.0, 100.0]",,1225,3.58351893845611
296,79d8efbbf59bdd2ab7e1b73c1ada3989,108,4,"(100.0, 150.0]",,11664,4.6913478822291435
297,7a065564ac3b8346586850cf0918ee1d,5,0,"(0.0, 100.0]",,25,1.791759469228055
298,7a1b09e31b69330adfb5301073139aa8,15,1,"(0.0, 100.0]",,225,2.772588722239781
299,7a78b374710171b484c86e2aa3c8d86e,17,1,"(0.0, 100.0]",,289,2.8903717578961645
300,7b9dd0a324b58fd52f6acf754c2b6815,11,1,"(0.0, 100.0]",,121,2.4849066497880004
303,7c18e73fcdec013142e4f5e5f8b3c9a7,35,1,"(0.0, 100.0]",,1225,3.58351893845611
304,7c65c79cd1f5d622756111f56da16d6f,7,0,"(0.0, 100.0]",,49,2.0794415416798357
305,7c8351432c0f5fe9b62271a126d1c23e,5,0,"(0.0, 100.0]",,25,1.791759469228055
306,7cb5a603fbaa9203be6c448a5aca1636,11,1,"(0.0, 100.0]",,121,2.4849066497880004
307,7d1678b998036bb2727814b21c3734b6,46,2,"(0.0, 100.0]",,2116,3.8501476017100584
308,7d41240102f80184441a7299adaa3502,70,18,"(0.0, 100.0]","(10.0, 20.0]",4900,4.2626798770413155
309,7d535b80dbb9ddc46f1541e079c871d4,9,1,"(0.0, 100.0]",,81,2.302585092994046
310,7d90761e7b1c20ba31651435264f96af,14,1,"(0.0, 100.0]",,196,2.70805020110221
311,7d9a239681a6f1a6a8ff11ff4c216569,32,4,"(0.0, 100.0]",,1024,3.4965075614664802
312,7dd065d09b6b6b355894a28c374942f0,15,1,"(0.0, 100.0]",,225,2.772588722239781
313,7ea55bc743661ce4669c38d59f2fdfcd,6,1,"(0.0, 100.0]",,36,1.9459101490553132
314,7f48da37716f9b8b499c0a026d85e90f,42,4,"(0.0, 100.0]",,1764,3.7612001156935624
316,806bea78a3ba55cb7ccc305b9b9642e3,46,0,"(0.0, 100.0]",,2116,3.8501476017100584
317,807ac3f6af1eff23a9b202c21136c795,22,1,"(0.0, 100.0]",,484,3.1354942159291497
318,80d099a019377393c8c1aa4a1b8765d3,36,5,"(0.0, 100.0]",,1296,3.6109179126442243
319,81d492cdfb860eb9e3d92e9a5fec320d,65,1,"(0.0, 100.0]",,4225,4.189654742026425
320,821c9166125c0837ffcbb8aadb6421c8,3,0,"(0.0, 100.0]",,9,1.3862943611198906
321,823782aef08bee4025f4e84ef4f912a2,9,0,"(0.0, 100.0]",,81,2.302585092994046
322,827a5bb2b5e13638667e7c5d537bea8a,30,2,"(0.0, 100.0]",,900,3.4339872044851463
324,837f2c17a9c1d31f71feb20b9ae7e190,5,0,"(0.0, 100.0]",,25,1.791759469228055
325,83909f30f2329c588331fc2481abaec5,231,0,"(200.0, inf]",,53361,5.44673737166631
326,843bb160eec2d47494fb2188adb5a7d5,24,1,"(0.0, 100.0]",,576,3.2188758248682006
327,85e45a1fbe1c2262a0321573940405ee,65,0,"(0.0, 100.0]",,4225,4.189654742026425
328,86565995501300aeb1eb1f3cd096f9bb,15,1,"(0.0, 100.0]",,225,2.772588722239781
329,865e256a155dd98504ff4bf6eaf8af36,26,2,"(0.0, 100.0]",,676,3.295836866004329
330,871c34ca31374ff10da2cd4475e1c981,84,5,"(0.0, 100.0]",,7056,4.442651256490317
331,87a2f359a7cacca53fcb4e82c74b0ef7,18,0,"(0.0, 100.0]",,324,2.9444389791664403
332,87c2f0ad800687b8a90a677d2f5ce6ce,121,15,"(100.0, 150.0]","(10.0, 20.0]",14641,4.804021044733257
333,87ee0b415dc3b01051687d374efe12a5,11,1,"(0.0, 100.0]",,121,2.4849066497880004
334,8863dd62fe4ad407030b44fdd514c404,6,1,"(0.0, 100.0]",,36,1.9459101490553132
335,88954f8bc4754a537b1ca0f96affce16,54,14,"(0.0, 100.0]","(10.0, 20.0]",2916,4.007333185232471
337,89baafe5b9c4770a055cd319e3ca5355,41,3,"(0.0, 100.0]",,1681,3.7376696182833684
338,8a089ee67029e1b3d18bab54f0e706d7,10,1,"(0.0, 100.0]",,100,2.3978952727983707
339,8a6d7340cf6d8cad0aa9d2290d582364,22,1,"(0.0, 100.0]",,484,3.1354942159291497
340,8af01d2fc2d51150a020a88b17caafcf,16,1,"(0.0, 100.0]",,256,2.833213344056216
341,8bfeb0eefcda99b90da3b60e31362ee0,38,1,"(0.0, 100.0]",,1444,3.6635616461296463
342,8d2daa0103ff651983983e9cd4f782bf,4,0,"(0.0, 100.0]",,16,1.6094379124341003
343,8f42433b2f95105fdbbfceddf34d9861,166,6,"(150.0, 200.0]",,27556,5.117993812416755
344,904480ce7009fd4bee0d5a83584bd055,128,5,"(100.0, 150.0]",,16384,4.859812404361672
